Title,Category,Body,Keywords,,,,,,,,,
Blue Bin (aluminum),Blue Bin,<ul><li>Empty and rinse (if necessary and possible) this item before placing it in the&nbsp;<strong>Blue Bin</strong>.</li></ul>,"pop cans, soda cans, aluminum cans, beverage cans, aluminum plates, aluminum pie plates, aluminum roasting pans, rigid aluminum foil, aluminum burner liner, aluminum trays, aluminum roasting trays, biscuit tins, cookie tins",,,,,,,,,
Blue Bin (auto-related plastic bottle),Blue Bin,<ul>  <li>Place this empty and rinsed item in the&nbsp;<strong>Blue Bin</strong>.</li> </ul>,"windshield washer fluid bottle, antifreeze container, car coolant container",,,,,,,,,
Blue Bin (blister packaging),Blue Bin,<ul>  <li>Separate paper/cardboard (if applicable) from rigid plastic packaging and place each separately in the&nbsp;<strong>Blue Bin</strong>.</li> </ul>,"thermoform packaging, clear plastic packaging, clear molded plastic packaging, blister packaging, plastic coin wrapper",,,,,,,,,
Blue Bin (books),Blue Bin,"<ul><li>Place books in your&nbsp;<strong>Blue Bin or&nbsp;</strong>consider donating books that are in good condition.</li><li>Reusable items can be donated to&nbsp;<a href=""https://www.toronto.ca/reduce-reuse/?accordion=not-for-profit-agencies-and-donations"">not-for-profit agencies</a>&nbsp;or dropped off at&nbsp;<a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank"" rel=""noopener"">Community Environment Days</a>.</li></ul>","books, novel, soft cover books, paperback books, hardcover books",,,,,,,,,
Blue Bin (boxboard),Blue Bin,<ul>  <li>Flatten box and place in the&nbsp;<strong>Blue Bin. </strong></li>  <li>Any plastic/foil liners or windows must be removed and placed in the <strong>Garbage Bin</strong>.</li> </ul>,"paperboard, cardboard barrel, cardboard boxes, pizza boxes (empty - no food residue or plastics), cereal boxes, cracker boxes, pasta boxes, boxboard, tissue boxes, Kleenex boxes, shoe boxes, cigarette packages",,,,,,,,,
Blue Bin (cardboard can),Blue Bin,<ul><li>Remove and discard any foil or plastic seals into the <strong>Garbage Bin.</strong></li><li>Then rinse (if necessary and possible) before placing in the&nbsp;<strong>Blue Bin</strong> with lid on.</li></ul>,"cardboard cans, Pringles cans, cardboard potato chips containers, cardboard nut cans, spiral cardboard cans, cardboard coffee cans, cardboard refrigerated dough containers, Pillsbury dough cans, cardboard powdered drink mix cans, boxboard cans, cardboard cocoa powder cans, cardboard raisins cans",,,,,,,,,
Blue Bin (cardboard),Blue Bin,"<ul>  <li>Cardboard should be flattened/broken down and placed in the <strong>Blue Bin</strong>.</li>  <li>For excess amounts cut/break down the cardboard to fit in your <strong>Blue Bin</strong> and place beside your bin.</li>  <li>Cardboard boxes must be tied together so collector can reload the bin.</li>  <li>Cardboard is also accepted at&nbsp;<a href=""http://www.toronto.ca/garbage/depots.htm"" target=""_blank"">Drop-Off Depots</a>.</li> </ul>","unwaxed cardboard, old corrugated cardboard, OCC, corrugated fibreboard, fiberboard boxes, appliance boxes",,,,,,,,,
Blue Bin (carton),Blue Bin,<ul><li>Empty and rinse (if necessary and possible); remove and discard the straw in the <strong>Garbage Bin</strong></li><li>Place the carton/box in your <strong>Blue Bin</strong> without flattening it.</li></ul>,"milk cartons, gable top containers, soup cartons, aseptic containers, juice cartons, juice boxes, Tetra Pak containers, soy milk cartons, almond milk cartons, soup cartons, broth cartons",,,,,,,,,
Blue Bin (CD/DVD case),Blue Bin,<ul>  <li>Place this empty item in the&nbsp;<strong>Blue Bin</strong>.&nbsp;</li>  <li>Any type of black or compostable plastic should be placed in the <strong>Garbage Bin</strong>.</li> </ul>,"DVD cases, CD cases, CD jewel cases, Caf̩",,,,,,,,,
Blue Bin (construction paper),Blue Bin,<ul>  <li>Place this item in the&nbsp;<strong>Blue Bin</strong>.</li>  <li>Paper with excessive paint or glue should go in the&nbsp;<strong>Garbage Bin</strong>.</li> </ul>,"construction papers, Bristol boards, posterboards, paperboards, cards stock, cardstock, cover stock, pasteboards",,,,,,,,,
